domain,title,abstract,verified methods list,masked extraction
Biology,"A Comprehensive Survey of Continual Learning: Theory, Method and Application","To cope with real-world dynamics, an intelligent system needs to incrementally acquire, update, accumulate, and exploit knowledge throughout its lifetime. This ability, known as continual learning, provides a foundation for AI systems to develop themselves adaptively. In a general sense, continual learning is explicitly limited by catastrophic forgetting, where learning a new task usually results in a dramatic performance drop of the old tasks. Beyond this, increasingly numerous advances have emerged in recent years that largely extend the understanding and application of continual learning. The growing and widespread interest in this direction demonstrates its realistic significance as well as complexity. In this work, we present a comprehensive survey of continual learning, seeking to bridge the basic settings, theoretical foundations, representative methods, and practical applications. Based on existing theoretical and empirical results, we summarize the general objectives of continual learning as ensuring a proper stability-plasticity trade-off and an adequate intra/inter-task generalizability in the context of resource efficiency. Then we provide a state-of-the-art and elaborated taxonomy, extensively analyzing how representative strategies address continual learning, and how they are adapted to particular challenges in various applications. Through an in-depth discussion of promising directions, we believe that such a holistic perspective can greatly facilitate subsequent exploration in this field and beyond.",['continual learning'],"The research idea centers on the challenge of continually acquiring, updating, and utilizing knowledge over time without losing previously learned information, a problem known as catastrophic forgetting. This issue is significant because learning new tasks often leads to a decline in performance on earlier tasks, highlighting the complexity of maintaining both stability and adaptability in dynamic environments. The study’s primary objective is to comprehensively summarize and categorize existing approaches to continual learning, focusing on achieving a balance between retaining old knowledge and integrating new information effectively. Additionally, it aims to analyze how different strategies address these challenges and to provide insights that can guide future research in this area."
Biology,Genotype by Environment Interaction and Adaptation in Barley Breeding: Basic Concepts and Methods of Analysis,"Genotype by environment interaction (GE) has important consequences in barley breeding. It often complicates testing and selection of superior genotypes, reducing genetic progress in breeding programs. This drawback may be overcome by a better understanding of the genetic and environmental factors that determine GE and adaptation of genotypes. An important array of statistical techniques is nowadays available to breeders and researchers to cope with the presence of relevant GE in multi-environment trials. This paper begins with a review of recent literature on the latest barley studies on GE and adaptation, including potential biotic and abiotic causes underlying GE. Most studies reported are empirical, describing postdictively genotypic performance across environments. As an alternative, methods allowing a more analytical approach are proposed, in which genotypes and environments are characterized in terms of external variables that affect genotypic performance. These methods are applied to a real barley data set. After data description, a number of selected multiplicative models are developed, namely the additive main effects and multiplicative interaction (AMMI) model, and the factorial regression model. Finally, the implications of GE in barley breeding are discussed. As an appendix, the SAS programs are given for the models described. Key-words: genotype by environment interaction, adaptation, AMMI, factorial regression, breeding programs",['additive main effects and multiplicative interaction (AMMI) model'],"The research idea centers on the significant impact of genotype by environment interaction (GE) in barley breeding, which complicates the testing and selection of superior genotypes and consequently reduces genetic progress in breeding programs. Understanding the genetic and environmental factors that influence GE and the adaptation of genotypes is crucial to overcoming these challenges. The primary objective of the study is to review recent barley research on GE and adaptation, including the biotic and abiotic causes underlying GE, and to propose an analytical approach that characterizes genotypes and environments based on external variables affecting genotypic performance. This approach aims to improve the understanding of GE and its implications for barley breeding programs."
Biology,"Revolutionizing agriculture with artificial intelligence: plant disease detection methods, applications, and their limitations","Accurate and rapid plant disease detection is critical for enhancing long-term agricultural yield. Disease infection poses the most significant challenge in crop production, potentially leading to economic losses. Viruses, fungi, bacteria, and other infectious organisms can affect numerous plant parts, including roots, stems, and leaves. Traditional techniques for plant disease detection are time-consuming, require expertise, and are resource-intensive. Therefore, automated leaf disease diagnosis using artificial intelligence (AI) with Internet of Things (IoT) sensors methodologies are considered for the analysis and detection. This research examines four crop diseases: tomato, chilli, potato, and cucumber. It also highlights the most prevalent diseases and infections in these four types of vegetables, along with their symptoms. This review provides detailed predetermined steps to predict plant diseases using AI. Predetermined steps include image acquisition, preprocessing, segmentation, feature selection, and classification. Machine learning (ML) and deep understanding (DL) detection models are discussed. A comprehensive examination of various existing ML and DL-based studies to detect the disease of the following four crops is discussed, including the datasets used to evaluate these studies. We also provided the list of plant disease detection datasets. Finally, different ML and DL application problems are identified and discussed, along with future research prospects, by combining AI with IoT platforms like smart drones for field-based disease detection and monitoring. This work will help other practitioners in surveying different plant disease detection strategies and the limits of present systems.","['machine learning (ML)', 'deep learning (DL)']","The research addresses the critical need for accurate and rapid detection of plant diseases to enhance long-term agricultural yield, as disease infections pose significant challenges in crop production and can lead to economic losses. Various infectious organisms such as viruses, fungi, and bacteria affect multiple parts of plants, including roots, stems, and leaves, making timely and effective disease identification essential. The study focuses on four important crops—tomato, chilli, potato, and cucumber—and highlights the most prevalent diseases and their symptoms in these vegetables. The primary objective of the research is to examine and review existing approaches for detecting diseases in these four crops, providing detailed steps and insights into disease diagnosis, as well as identifying current challenges and future prospects in plant disease detection to support practitioners in improving detection strategies."
Biology,Deep-STP: a deep learning-based approach to predict snake toxin proteins by using word embeddings,"Snake venom contains many toxic proteins that can destroy the circulatory system or nervous system of prey. Studies have found that these snake venom proteins have the potential to treat cardiovascular and nervous system diseases. Therefore, the study of snake venom protein is conducive to the development of related drugs. The research technologies based on traditional biochemistry can accurately identify these proteins, but the experimental cost is high and the time is long. Artificial intelligence technology provides a new means and strategy for large-scale screening of snake venom proteins from the perspective of computing. In this paper, we developed a sequence-based computational method to recognize snake toxin proteins. Specially, we utilized three different feature descriptors, namely g-gap , natural vector and word 2 vector, to encode snake toxin protein sequences. The analysis of variance (ANOVA), gradient-boost decision tree algorithm (GBDT) combined with incremental feature selection (IFS) were used to optimize the features, and then the optimized features were input into the deep learning model for model training. The results show that our model can achieve a prediction performance with an accuracy of 82.00% in 10-fold cross-validation. The model is further verified on independent data, and the accuracy rate reaches to 81.14%, which demonstrated that our model has excellent prediction performance and robustness.","['gradient-boost decision tree algorithm (GBDT)', 'incremental feature selection (IFS)', 'deep learning model']","The study addresses the presence of toxic proteins in snake venom that can damage the circulatory or nervous systems of prey, highlighting their potential use in treating cardiovascular and nervous system diseases. Understanding and identifying these snake venom proteins is important for the development of related drugs. The primary aim of the study is to recognize and accurately identify snake toxin proteins to facilitate their study and potential therapeutic application. This research seeks to improve the identification process of these proteins to support drug development efforts."
Biology,Can large language models replace humans in systematic reviews? Evaluating <scp>GPT</scp>‐4's efficacy in screening and extracting data from peer‐reviewed and grey literature in multiple languages,"Systematic reviews are vital for guiding practice, research and policy, although they are often slow and labour-intensive. Large language models (LLMs) could speed up and automate systematic reviews, but their performance in such tasks has yet to be comprehensively evaluated against humans, and no study has tested Generative Pre-Trained Transformer (GPT)-4, the biggest LLM so far. This pre-registered study uses a ""human-out-of-the-loop"" approach to evaluate GPT-4's capability in title/abstract screening, full-text review and data extraction across various literature types and languages. Although GPT-4 had accuracy on par with human performance in some tasks, results were skewed by chance agreement and dataset imbalance. Adjusting for these caused performance scores to drop across all stages: for data extraction, performance was moderate, and for screening, it ranged from none in highly balanced literature datasets (~1:1) to moderate in those datasets where the ratio of inclusion to exclusion in studies was imbalanced (~1:3). When screening full-text literature using highly reliable prompts, GPT-4's performance was more robust, reaching ""human-like"" levels. Although our findings indicate that, currently, substantial caution should be exercised if LLMs are being used to conduct systematic reviews, they also offer preliminary evidence that, for certain review tasks delivered under specific conditions, LLMs can rival human performance.",['Generative Pre-Trained Transformer (GPT)-4'],"The research idea centers on the importance of systematic reviews for guiding practice, research, and policy, while highlighting the challenges posed by their slow and labor-intensive nature. The study addresses the need to evaluate new approaches that could potentially accelerate and automate the process of conducting systematic reviews. The primary objective of the study is to comprehensively assess the capability of GPT-4 in performing key tasks involved in systematic reviews, including title and abstract screening, full-text review, and data extraction across various types of literature and languages. The study aims to determine how well GPT-4’s performance compares to human reviewers in these tasks and to identify the conditions under which it may achieve human-like accuracy."
Biology,Feature reduction for hepatocellular carcinoma prediction using machine learning algorithms,"Abstract Hepatocellular carcinoma (HCC) is a highly prevalent form of liver cancer that necessitates accurate prediction models for early diagnosis and effective treatment. Machine learning algorithms have demonstrated promising results in various medical domains, including cancer prediction. In this study, we propose a comprehensive approach for HCC prediction by comparing the performance of different machine learning algorithms before and after applying feature reduction methods. We employ popular feature reduction techniques, such as weighting features, hidden features correlation, feature selection, and optimized selection, to extract a reduced feature subset that captures the most relevant information related to HCC. Subsequently, we apply multiple algorithms, including Naive Bayes, support vector machines (SVM), Neural Networks, Decision Tree, and K nearest neighbors (KNN), to both the original high-dimensional dataset and the reduced feature set. By comparing the predictive accuracy, precision, F Score, recall, and execution time of each algorithm, we assess the effectiveness of feature reduction in enhancing the performance of HCC prediction models. Our experimental results, obtained using a comprehensive dataset comprising clinical features of HCC patients, demonstrate that feature reduction significantly improves the performance of all examined algorithms. Notably, the reduced feature set consistently outperforms the original high-dimensional dataset in terms of prediction accuracy and execution time. After applying feature reduction techniques, the employed algorithms, namely decision trees, Naive Bayes, KNN, neural networks, and SVM achieved accuracies of 96%, 97.33%, 94.67%, 96%, and 96.00%, respectively.","['Naive Bayes', 'support vector machines (SVM)', 'Neural Networks', 'Decision Tree', 'K nearest neighbors (KNN)']","The study addresses the challenge of accurately predicting hepatocellular carcinoma (HCC), a highly prevalent form of liver cancer, which is crucial for early diagnosis and effective treatment. Improving prediction accuracy is essential to better identify patients at risk and enhance clinical outcomes. The primary aim of the study is to evaluate and compare the effectiveness of different approaches in predicting HCC by identifying the most relevant clinical features associated with the disease. This involves assessing how reducing the number of features impacts the accuracy and efficiency of HCC prediction, ultimately aiming to improve the reliability of diagnostic methods for this type of liver cancer."
Biology,CIFAKE: Image Classification and Explainable Identification of AI-Generated Synthetic Images,"Recent advances in synthetic data have enabled the generation of images with such high quality that human beings cannot tell the difference between real-life photographs and Artificial Intelligence (AI) generated images. Given the critical necessity of data reliability and authentication, this article proposes to enhance our ability to recognise AI-generated images through computer vision. Initially, a synthetic dataset is generated that mirrors the ten classes of the already available CIFAR-10 dataset with latent diffusion, providing a contrasting set of images for comparison to real photographs. The model is capable of generating complex visual attributes, such as photorealistic reflections in water. The two sets of data present as a binary classification problem with regard to whether the photograph is real or generated by AI. This study then proposes the use of a Convolutional Neural Network (CNN) to classify the images into two categories; Real or Fake. Following hyperparameter tuning and the training of 36 individual network topologies, the optimal approach could correctly classify the images with 92.98% accuracy. Finally, this study implements explainable AI via Gradient Class Activation Mapping to explore which features within the images are useful for classification. Interpretation reveals interesting concepts within the image, in particular, noting that the actual entity itself does not hold useful information for classification; instead, the model focuses on small visual imperfections in the background of the images. The complete dataset engineered for this study, referred to as the CIFAKE dataset, is made publicly available to the research community for future work.","['latent diffusion', 'Convolutional Neural Network (CNN)', 'Gradient Class Activation Mapping']","The research idea addresses the challenge of distinguishing between real-life photographs and synthetic images that are generated with such high quality that they are indistinguishable to the human eye. Given the critical necessity of data reliability and authentication, the study focuses on enhancing the ability to recognize artificially generated images. The primary objective of the study is to develop a method to classify images into real or AI-generated categories by comparing synthetic images that mirror established photographic classes with authentic photographs. Additionally, the study aims to identify specific visual features that differentiate real images from synthetic ones, thereby improving understanding of the distinguishing characteristics between these two types of images."
Biology,Optimization of hepatological clinical guidelines interpretation by large language models: a retrieval augmented generation-based framework,"Abstract Large language models (LLMs) can potentially transform healthcare, particularly in providing the right information to the right provider at the right time in the hospital workflow. This study investigates the integration of LLMs into healthcare, specifically focusing on improving clinical decision support systems (CDSSs) through accurate interpretation of medical guidelines for chronic Hepatitis C Virus infection management. Utilizing OpenAI’s GPT-4 Turbo model, we developed a customized LLM framework that incorporates retrieval augmented generation (RAG) and prompt engineering. Our framework involved guideline conversion into the best-structured format that can be efficiently processed by LLMs to provide the most accurate output. An ablation study was conducted to evaluate the impact of different formatting and learning strategies on the LLM’s answer generation accuracy. The baseline GPT-4 Turbo model’s performance was compared against five experimental setups with increasing levels of complexity: inclusion of in-context guidelines, guideline reformatting, and implementation of few-shot learning. Our primary outcome was the qualitative assessment of accuracy based on expert review, while secondary outcomes included the quantitative measurement of similarity of LLM-generated responses to expert-provided answers using text-similarity scores. The results showed a significant improvement in accuracy from 43 to 99% ( p &lt; 0.001), when guidelines were provided as context in a coherent corpus of text and non-text sources were converted into text. In addition, few-shot learning did not seem to improve overall accuracy. The study highlights that structured guideline reformatting and advanced prompt engineering (data quality vs. data quantity) can enhance the efficacy of LLM integrations to CDSSs for guideline delivery.","['OpenAI’s GPT-4 Turbo model', 'retrieval augmented generation (RAG)', 'few-shot learning']",The study addresses the challenge of improving clinical decision support systems for the management of chronic Hepatitis C Virus infection by ensuring accurate interpretation and delivery of medical guidelines within healthcare settings. It focuses on the need to provide the right information to healthcare providers at the right time to enhance patient care and treatment outcomes. The primary aim of the study is to investigate how the structuring and presentation of clinical guidelines can improve the accuracy of guideline interpretation and support clinical decision-making for chronic Hepatitis C Virus infection management. The study seeks to evaluate the impact of different guideline formatting strategies on the accuracy of clinical recommendations to ultimately enhance the effectiveness of guideline delivery in healthcare workflows.
Biology,Survival Prediction Across Diverse Cancer Types Using Neural Networks,"Gastric cancer and Colon adenocarcinoma represent widespread and challenging malignancies with high mortality rates and complex treatment landscapes. In response to the critical need for accurate prognosis in cancer patients, the medical community has embraced the 5-year survival rate as a vital metric for estimating patient outcomes. This study introduces a pioneering approach to enhance survival prediction models for gastric and Colon adenocarcinoma patients. Leveraging advanced image analysis techniques, we sliced whole slide images (WSI) of these cancers, extracting comprehensive features to capture nuanced tumor characteristics. Subsequently, we constructed patient-level graphs, encapsulating intricate spatial relationships within tumor tissues. These graphs served as inputs for a sophisticated 4-layer graph convolutional neural network (GCN), designed to exploit the inherent connectivity of the data for comprehensive analysis and prediction. By integrating patients' total survival time and survival status, we computed C-index values for gastric cancer and Colon adenocarcinoma, yielding 0.57 and 0.64, respectively. Significantly surpassing previous convolutional neural network models, these results underscore the efficacy of our approach in accurately predicting patient survival outcomes. This research holds profound implications for both the medical and AI communities, offering insights into cancer biology and progression while advancing personalized treatment strategies. Ultimately, our study represents a significant stride in leveraging AI-driven methodologies to revolutionize cancer prognosis and improve patient outcomes on a global scale.","['graph convolutional neural network (GCN)', 'convolutional neural network']","The study addresses the critical challenge of accurately predicting survival outcomes for patients with gastric cancer and colon adenocarcinoma, two malignancies characterized by high mortality rates and complex treatment options. Given the importance of the 5-year survival rate as a key metric for estimating patient prognosis, there is a pressing need to improve the precision of survival predictions in these cancers. The primary objective of this research is to enhance survival prediction for gastric and colon adenocarcinoma patients by capturing detailed tumor characteristics and spatial relationships within tumor tissues. This aims to provide more accurate estimates of patient outcomes, thereby contributing to better-informed clinical decision-making and personalized treatment strategies."
Biology,Aspect-based drug review classification through a hybrid model with ant colony optimization using deep learning,"Abstract The task of aspect-level sentiment analysis is intricately designed to determine the sentiment polarity directed towards a specific target within a sentence. With the increasing availability of online reviews and the growing importance of healthcare decisions, analyzing drug reviews has become a critical task. Traditional sentiment analysis, which categorizes a whole review as positive, negative, or neutral, provides limited insights for consumers and healthcare professionals. Aspect-based sentiment analysis (ABSA) aims to overcome these limitations by identifying and evaluating the sentiment associated with specific aspects or attributes of drugs mentioned in the reviews. Various fields, including business, politics, and medicine, have been explored in the context of sentiment analysis. Automation of online user reviews allows pharmaceutical companies to assess large amounts of user feedback. This helps extract pharmacological efficacy and side effect insights. The data collected could improve pharmacovigilance. Reviewing user comments can provide valuable data that can be used to improve drug safety and efficacy monitoring procedures. This improves pharmacovigilance processes, improving pharmaceutical outcomes understanding and corporate decision-making. Therefore, we propose a pre-trained RoBERTa with a Bi-LSTM model to categorise drug reviews from online sources and pre-process the text data. Ant Colony Optimization can be used in feature selection for ABSA, helping to identify the most relevant aspects and sentiments. Further, RoBERTa is fine-tuned to perform ABSA on the dataset, enabling the system to categorize aspects and determine the associated sentiment. The outcomes reveal that the suggested framework has achieved higher accuracy (96.78%) and F1 score (98.29%) on druglib.com, and 95.02% on the drugs.com dataset, than several prior state-of-the-art methods.","['pre-trained RoBERTa', 'Bi-LSTM model', 'fine-tuned RoBERTa']","The research addresses the challenge of understanding specific sentiments expressed toward particular aspects of drugs within online reviews, which is crucial given the increasing reliance on such reviews for healthcare decisions. Traditional methods that classify entire reviews as simply positive, negative, or neutral fail to provide detailed insights needed by consumers and healthcare professionals. This study focuses on improving the extraction of nuanced sentiment information related to distinct drug attributes to enhance pharmacovigilance and drug safety monitoring. The primary objective of the study is to categorize drug reviews from online sources by identifying and evaluating the sentiment associated with specific drug aspects mentioned in the reviews. This aims to provide more detailed and actionable insights into pharmacological efficacy and side effects, thereby supporting improved drug safety and efficacy monitoring procedures."
Biology,"A Comprehensive Survey of Deep Transfer Learning for Anomaly Detection in Industrial Time Series: Methods, Applications, and Directions","Automating the monitoring of industrial processes has the potential to enhance efficiency and optimize quality by promptly detecting abnormal events and thus facilitating timely interventions. Deep learning, with its capacity to discern non-trivial patterns within large datasets, plays a pivotal role in this process. Standard deep learning methods are suitable to solve a specific task given a specific type of data. During training, deep learning demands large volumes of labeled data. However, due to the dynamic nature of the industrial processes and environment, it is impractical to acquire large-scale labeled data for standard deep learning training for every slightly different case anew. Deep transfer learning offers a solution to this problem. By leveraging knowledge from related tasks and accounting for variations in data distributions, the transfer learning framework solves new tasks with little or even no additional labeled data. The approach bypasses the need to retrain a model from scratch for every new setup and dramatically reduces the labeled data requirement. This survey first provides an in-depth review of deep transfer learning, examining the problem settings of transfer learning and classifying the prevailing deep transfer learning methods. Moreover, we delve into applications of deep transfer learning in the context of a broad spectrum of time series anomaly detection tasks prevalent in primary industrial domains, e.g., manufacturing process monitoring, predictive maintenance, energy management, and infrastructure facility monitoring. We discuss the challenges and limitations of deep transfer learning in industrial contexts and conclude the survey with practical directions and actionable suggestions to address the need to leverage diverse time series data for anomaly detection in an increasingly dynamic production environment.","['deep learning', 'deep transfer learning', 'transfer learning framework']","The research idea centers on the challenge of monitoring industrial processes efficiently by detecting abnormal events promptly to enhance operational quality and enable timely interventions. Due to the dynamic nature of industrial environments, acquiring large-scale labeled data for every variation in the process is impractical, creating a need for approaches that can adapt to changing conditions with limited new data. The primary objective of the study is to review and classify existing methods that address this challenge by leveraging knowledge from related tasks to detect anomalies in time series data across various industrial domains. Additionally, the study aims to discuss the challenges and limitations of these methods in industrial settings and provide practical recommendations for improving anomaly detection in dynamic production environments."
Biology,Enhancing precision agriculture: A comprehensive review of machine learning and AI vision applications in all-terrain vehicle for farm automation,"The automation of all-terrain vehicles (ATVs) through the integration of advanced technologies such as machine learning (ML) and artificial intelligence (AI) vision has significantly changed precision agriculture. This paper aims to analyse and develop trends to provide comprehensive knowledge of the current state of ATV-based precision agriculture and the future possibilities of ML and AI. A bibliometric analysis was conducted through network diagram with keywords taken from previous publications in the domain. This review comprehensively analyses the potential of machine learning and artificial intelligence in transforming farming operations through the automation of tasks and the deployment of all-terrain vehicles. The research extensively analyses how machine learning methods have influenced several aspects of agricultural activities, such as planting, harvesting, spraying, weeding, crop monitoring, and others. AI vision systems are being researched for their ability to enhance precise and prompt decision-making in ATV-driven agricultural automation. These technologies have been thoroughly tested to show how they can improve crop yield, reducing overall investment, and make farming more efficient. Examples include machine learning-based seeding accuracy, AI-enabled crop health monitoring, and the use of AI vision for accurate pesticide application. The assessment examines challenges such as data privacy problems and scalability constraints, along with potential advancements and future prospects in the field. This will assist researchers and practitioners in making well-informed judgments regarding farming practices that are efficient, sustainable, and technologically robust.",['machine learning'],"The study addresses the evolving role of all-terrain vehicles (ATVs) in precision agriculture and the impact of integrating advanced technologies to transform farming operations. It highlights the motivation to understand how these innovations can improve various agricultural activities such as planting, harvesting, spraying, weeding, and crop monitoring, ultimately aiming to enhance crop yield and farming efficiency. The primary objective of the research is to provide a comprehensive overview of the current state and future possibilities of ATV-based precision agriculture, focusing on how these advancements can automate tasks and support precise decision-making in agricultural practices. The study also aims to identify challenges and potential developments to guide researchers and practitioners toward more efficient, sustainable, and effective farming methods."
Biology,An Empirical Evaluation of Prompting Strategies for Large Language Models in Zero-Shot Clinical Natural Language Processing: Algorithm Development and Validation Study,"Background Large language models (LLMs) have shown remarkable capabilities in natural language processing (NLP), especially in domains where labeled data are scarce or expensive, such as the clinical domain. However, to unlock the clinical knowledge hidden in these LLMs, we need to design effective prompts that can guide them to perform specific clinical NLP tasks without any task-specific training data. This is known as in-context learning, which is an art and science that requires understanding the strengths and weaknesses of different LLMs and prompt engineering approaches. Objective The objective of this study is to assess the effectiveness of various prompt engineering techniques, including 2 newly introduced types—heuristic and ensemble prompts, for zero-shot and few-shot clinical information extraction using pretrained language models. Methods This comprehensive experimental study evaluated different prompt types (simple prefix, simple cloze, chain of thought, anticipatory, heuristic, and ensemble) across 5 clinical NLP tasks: clinical sense disambiguation, biomedical evidence extraction, coreference resolution, medication status extraction, and medication attribute extraction. The performance of these prompts was assessed using 3 state-of-the-art language models: GPT-3.5 (OpenAI), Gemini (Google), and LLaMA-2 (Meta). The study contrasted zero-shot with few-shot prompting and explored the effectiveness of ensemble approaches. Results The study revealed that task-specific prompt tailoring is vital for the high performance of LLMs for zero-shot clinical NLP. In clinical sense disambiguation, GPT-3.5 achieved an accuracy of 0.96 with heuristic prompts and 0.94 in biomedical evidence extraction. Heuristic prompts, alongside chain of thought prompts, were highly effective across tasks. Few-shot prompting improved performance in complex scenarios, and ensemble approaches capitalized on multiple prompt strengths. GPT-3.5 consistently outperformed Gemini and LLaMA-2 across tasks and prompt types. Conclusions This study provides a rigorous evaluation of prompt engineering methodologies and introduces innovative techniques for clinical information extraction, demonstrating the potential of in-context learning in the clinical domain. These findings offer clear guidelines for future prompt-based clinical NLP research, facilitating engagement by non-NLP experts in clinical NLP advancements. To the best of our knowledge, this is one of the first works on the empirical evaluation of different prompt engineering approaches for clinical NLP in this era of generative artificial intelligence, and we hope that it will inspire and inform future research in this area.","['in-context learning', 'few-shot prompting', 'zero-shot prompting']","The research idea addresses the challenge of extracting valuable clinical knowledge from large language models without relying on task-specific training data, focusing on how to effectively guide these models to perform various clinical information extraction tasks. This study is motivated by the need to improve clinical natural language processing in scenarios where labeled clinical data are scarce or expensive, emphasizing the importance of designing appropriate prompts to unlock the potential of these models for clinical applications. The primary objective of the study is to evaluate the effectiveness of different prompt engineering techniques, including newly introduced heuristic and ensemble prompts, for zero-shot and few-shot clinical information extraction across multiple clinical tasks. The study aims to provide a comprehensive assessment of these approaches to enhance clinical information extraction performance and offer practical guidelines for future research in clinical natural language processing."
Biology,A systematic review of hyperspectral imaging in precision agriculture: Analysis of its current state and future prospects,"Hyperspectral sensor adaptability in precision agriculture to digital images is still at its nascent stage. Hyperspectral imaging (HSI) is data rich in solving agricultural problems like disease detection, weed detection, stress detection, crop monitoring, nutrient application, soil mineralogy, yield estimation, and sorting applications. With modern precision agriculture, the challenge now is to bring these applications to the field for real-time solutions, where machines are enabled to conduct analyses without expert supervision and communicate the results to users for better management of farmlands; a necessary step to gain complete autonomy in agricultural farmlands. Significant advancements in HSI technology for precision agriculture are required to fully realize its potential. As a wide-ranging collection of the status of HSI and analysis in precision agriculture is lacking, this review endeavors to provide a comprehensive overview of the recent advancements and trends of HSI in precision agriculture for real-time applications. In this study, a systematic review of 163 scientific articles published over the past twenty years (2003–2023) was conducted. Of these, 97 were selected for further analysis based on their relevance to the topic at hand. Topics include conventional data preprocessing techniques, hyperspectral data acquisition, data compression methods, and segmentation methods. The hardware implementation of field-programmable gate arrays (FPGAs) and graphics processing units (GPUs) for high-speed data processing and application of machine learning and deep learning technologies were explored. This review highlights the potential of HSI as a powerful tool for precision agriculture, particularly in real-time applications, discusses limitations, and provides insights into future research directions.","['machine learning', 'deep learning']","The research idea centers on the emerging role of hyperspectral imaging (HSI) in precision agriculture, particularly its potential to address critical agricultural challenges such as disease detection, weed detection, stress detection, crop monitoring, nutrient application, soil mineralogy, yield estimation, and sorting. Despite its promise, the adaptation of hyperspectral sensors for real-time field applications remains in the early stages, and significant advancements are needed to fully harness HSI technology for autonomous and efficient farmland management. The primary objective of this study is to provide a comprehensive overview of recent advancements and trends in the use of hyperspectral imaging within precision agriculture, focusing on real-time applications. This review aims to synthesize current knowledge, highlight the potential and limitations of HSI, and offer insights into future research directions to support the development of effective real-time solutions in agricultural practices."
