domain,title,abstract,verified methods list,inital masked extraction,final masked extraction,leakage detected
Biology,"A Comprehensive Survey of Continual Learning: Theory, Method and Application","To cope with real-world dynamics, an intelligent system needs to incrementally acquire, update, accumulate, and exploit knowledge throughout its lifetime. This ability, known as continual learning, provides a foundation for AI systems to develop themselves adaptively. In a general sense, continual learning is explicitly limited by catastrophic forgetting, where learning a new task usually results in a dramatic performance drop of the old tasks. Beyond this, increasingly numerous advances have emerged in recent years that largely extend the understanding and application of continual learning. The growing and widespread interest in this direction demonstrates its realistic significance as well as complexity. In this work, we present a comprehensive survey of continual learning, seeking to bridge the basic settings, theoretical foundations, representative methods, and practical applications. Based on existing theoretical and empirical results, we summarize the general objectives of continual learning as ensuring a proper stability-plasticity trade-off and an adequate intra/inter-task generalizability in the context of resource efficiency. Then we provide a state-of-the-art and elaborated taxonomy, extensively analyzing how representative strategies address continual learning, and how they are adapted to particular challenges in various applications. Through an in-depth discussion of promising directions, we believe that such a holistic perspective can greatly facilitate subsequent exploration in this field and beyond.",['continual learning'],"The research idea centers on the challenge of continually acquiring, updating, and utilizing knowledge over time without losing previously learned information, a problem known as catastrophic forgetting. This issue is significant because learning new tasks often leads to a decline in performance on earlier tasks, highlighting the complexity of maintaining both stability and adaptability in dynamic environments. The study’s primary objective is to comprehensively summarize and categorize existing approaches to continual learning, focusing on achieving a balance between retaining old knowledge and integrating new information effectively. Additionally, it aims to analyze how different strategies address these challenges and to provide insights that can guide future research in this area.","The research idea centers on the challenge of continually acquiring, updating, and utilizing knowledge over time without losing previously learned information, a problem known as catastrophic forgetting. This issue is significant because learning new tasks often leads to a decline in performance on earlier tasks, highlighting the complexity of maintaining both stability and adaptability in dynamic environments. The study's primary objective is to comprehensively summarize and categorize existing approaches to continual knowledge acquisition, focusing on achieving a balance between retaining old knowledge and integrating new information effectively. Additionally, it aims to analyze how different strategies address these challenges and to provide insights that can guide future research in this area.",True
Biology,Genotype by Environment Interaction and Adaptation in Barley Breeding: Basic Concepts and Methods of Analysis,"Genotype by environment interaction (GE) has important consequences in barley breeding. It often complicates testing and selection of superior genotypes, reducing genetic progress in breeding programs. This drawback may be overcome by a better understanding of the genetic and environmental factors that determine GE and adaptation of genotypes. An important array of statistical techniques is nowadays available to breeders and researchers to cope with the presence of relevant GE in multi-environment trials. This paper begins with a review of recent literature on the latest barley studies on GE and adaptation, including potential biotic and abiotic causes underlying GE. Most studies reported are empirical, describing postdictively genotypic performance across environments. As an alternative, methods allowing a more analytical approach are proposed, in which genotypes and environments are characterized in terms of external variables that affect genotypic performance. These methods are applied to a real barley data set. After data description, a number of selected multiplicative models are developed, namely the additive main effects and multiplicative interaction (AMMI) model, and the factorial regression model. Finally, the implications of GE in barley breeding are discussed. As an appendix, the SAS programs are given for the models described. Key-words: genotype by environment interaction, adaptation, AMMI, factorial regression, breeding programs",['additive main effects and multiplicative interaction (AMMI) model'],"The research idea centers on the significant impact of genotype by environment interaction (GE) in barley breeding, which complicates the testing and selection of superior genotypes and consequently reduces genetic progress in breeding programs. Understanding the genetic and environmental factors that influence GE and the adaptation of genotypes is crucial to overcoming these challenges. The primary objective of the study is to review recent barley research on GE and adaptation, including the biotic and abiotic causes underlying GE, and to propose an analytical approach that characterizes genotypes and environments based on external variables affecting genotypic performance. This approach aims to improve the understanding of GE and its implications for barley breeding programs.","The research idea centers on the significant impact of genotype by environment interaction (GE) in barley breeding, which complicates the testing and selection of superior genotypes and consequently reduces genetic progress in breeding programs. Understanding the genetic and environmental factors that influence GE and the adaptation of genotypes is crucial to overcoming these challenges. The primary objective of the study is to review recent barley research on GE and adaptation, including the biotic and abiotic causes underlying GE, and to propose an approach that characterizes genotypes and environments based on external variables affecting genotypic performance. This approach aims to improve the understanding of GE and its implications for barley breeding programs.",True
Biology,Can large language models replace humans in systematic reviews? Evaluating <scp>GPT</scp>‐4's efficacy in screening and extracting data from peer‐reviewed and grey literature in multiple languages,"Systematic reviews are vital for guiding practice, research and policy, although they are often slow and labour-intensive. Large language models (LLMs) could speed up and automate systematic reviews, but their performance in such tasks has yet to be comprehensively evaluated against humans, and no study has tested Generative Pre-Trained Transformer (GPT)-4, the biggest LLM so far. This pre-registered study uses a ""human-out-of-the-loop"" approach to evaluate GPT-4's capability in title/abstract screening, full-text review and data extraction across various literature types and languages. Although GPT-4 had accuracy on par with human performance in some tasks, results were skewed by chance agreement and dataset imbalance. Adjusting for these caused performance scores to drop across all stages: for data extraction, performance was moderate, and for screening, it ranged from none in highly balanced literature datasets (~1:1) to moderate in those datasets where the ratio of inclusion to exclusion in studies was imbalanced (~1:3). When screening full-text literature using highly reliable prompts, GPT-4's performance was more robust, reaching ""human-like"" levels. Although our findings indicate that, currently, substantial caution should be exercised if LLMs are being used to conduct systematic reviews, they also offer preliminary evidence that, for certain review tasks delivered under specific conditions, LLMs can rival human performance.",['Generative Pre-Trained Transformer (GPT)-4'],"The research idea centers on the importance of systematic reviews for guiding practice, research, and policy, while highlighting the challenges posed by their slow and labor-intensive nature. The study addresses the need to evaluate new approaches that could potentially accelerate and automate the process of conducting systematic reviews. The primary objective of the study is to comprehensively assess the capability of GPT-4 in performing key tasks involved in systematic reviews, including title and abstract screening, full-text review, and data extraction across various types of literature and languages. The study aims to determine how well GPT-4’s performance compares to human reviewers in these tasks and to identify the conditions under which it may achieve human-like accuracy.","The research idea centers on the importance of systematic reviews for guiding practice, research, and policy, while highlighting the challenges posed by their slow and labor-intensive nature. The study addresses the need to evaluate new approaches that could potentially accelerate and streamline the process of conducting systematic reviews. The primary objective of the study is to comprehensively assess alternative methods for performing key tasks involved in systematic reviews, including title and abstract screening, full-text review, and data extraction across various types of literature and languages. The study aims to determine how well these alternative approaches compare to human reviewers in these tasks and to identify the conditions under which they may achieve human-like accuracy.",True
Biology,CIFAKE: Image Classification and Explainable Identification of AI-Generated Synthetic Images,"Recent advances in synthetic data have enabled the generation of images with such high quality that human beings cannot tell the difference between real-life photographs and Artificial Intelligence (AI) generated images. Given the critical necessity of data reliability and authentication, this article proposes to enhance our ability to recognise AI-generated images through computer vision. Initially, a synthetic dataset is generated that mirrors the ten classes of the already available CIFAR-10 dataset with latent diffusion, providing a contrasting set of images for comparison to real photographs. The model is capable of generating complex visual attributes, such as photorealistic reflections in water. The two sets of data present as a binary classification problem with regard to whether the photograph is real or generated by AI. This study then proposes the use of a Convolutional Neural Network (CNN) to classify the images into two categories; Real or Fake. Following hyperparameter tuning and the training of 36 individual network topologies, the optimal approach could correctly classify the images with 92.98% accuracy. Finally, this study implements explainable AI via Gradient Class Activation Mapping to explore which features within the images are useful for classification. Interpretation reveals interesting concepts within the image, in particular, noting that the actual entity itself does not hold useful information for classification; instead, the model focuses on small visual imperfections in the background of the images. The complete dataset engineered for this study, referred to as the CIFAKE dataset, is made publicly available to the research community for future work.","['latent diffusion', 'Convolutional Neural Network (CNN)', 'Gradient Class Activation Mapping']","The research idea addresses the challenge of distinguishing between real-life photographs and synthetic images that are generated with such high quality that they are indistinguishable to the human eye. Given the critical necessity of data reliability and authentication, the study focuses on enhancing the ability to recognize artificially generated images. The primary objective of the study is to develop a method to classify images into real or AI-generated categories by comparing synthetic images that mirror established photographic classes with authentic photographs. Additionally, the study aims to identify specific visual features that differentiate real images from synthetic ones, thereby improving understanding of the distinguishing characteristics between these two types of images.","The research idea addresses the challenge of distinguishing between real-life photographs and synthetic images that are generated with such high quality that they are indistinguishable to the human eye. Given the critical necessity of data reliability and authentication, the study focuses on enhancing the ability to recognize artificially generated images. The primary objective of the study is to develop a method to classify images into real or synthetic categories by comparing artificially created images that mirror established photographic classes with authentic photographs. Additionally, the study aims to identify specific visual features that differentiate real images from synthetic ones, thereby improving understanding of the distinguishing characteristics between these two types of images.",True
Biology,Aspect-based drug review classification through a hybrid model with ant colony optimization using deep learning,"Abstract The task of aspect-level sentiment analysis is intricately designed to determine the sentiment polarity directed towards a specific target within a sentence. With the increasing availability of online reviews and the growing importance of healthcare decisions, analyzing drug reviews has become a critical task. Traditional sentiment analysis, which categorizes a whole review as positive, negative, or neutral, provides limited insights for consumers and healthcare professionals. Aspect-based sentiment analysis (ABSA) aims to overcome these limitations by identifying and evaluating the sentiment associated with specific aspects or attributes of drugs mentioned in the reviews. Various fields, including business, politics, and medicine, have been explored in the context of sentiment analysis. Automation of online user reviews allows pharmaceutical companies to assess large amounts of user feedback. This helps extract pharmacological efficacy and side effect insights. The data collected could improve pharmacovigilance. Reviewing user comments can provide valuable data that can be used to improve drug safety and efficacy monitoring procedures. This improves pharmacovigilance processes, improving pharmaceutical outcomes understanding and corporate decision-making. Therefore, we propose a pre-trained RoBERTa with a Bi-LSTM model to categorise drug reviews from online sources and pre-process the text data. Ant Colony Optimization can be used in feature selection for ABSA, helping to identify the most relevant aspects and sentiments. Further, RoBERTa is fine-tuned to perform ABSA on the dataset, enabling the system to categorize aspects and determine the associated sentiment. The outcomes reveal that the suggested framework has achieved higher accuracy (96.78%) and F1 score (98.29%) on druglib.com, and 95.02% on the drugs.com dataset, than several prior state-of-the-art methods.","['pre-trained RoBERTa', 'Bi-LSTM model', 'fine-tuned RoBERTa']","The research addresses the challenge of understanding specific sentiments expressed toward particular aspects of drugs within online reviews, which is crucial given the increasing reliance on such reviews for healthcare decisions. Traditional methods that classify entire reviews as simply positive, negative, or neutral fail to provide detailed insights needed by consumers and healthcare professionals. This study focuses on improving the extraction of nuanced sentiment information related to distinct drug attributes to enhance pharmacovigilance and drug safety monitoring. The primary objective of the study is to categorize drug reviews from online sources by identifying and evaluating the sentiment associated with specific drug aspects mentioned in the reviews. This aims to provide more detailed and actionable insights into pharmacological efficacy and side effects, thereby supporting improved drug safety and efficacy monitoring procedures.","The research addresses the challenge of understanding specific sentiments expressed toward particular aspects of drugs within online reviews, which is crucial given the increasing reliance on such reviews for healthcare decisions. Methods that classify entire reviews as simply positive, negative, or neutral fail to provide detailed insights needed by consumers and healthcare professionals. This study focuses on improving the extraction of nuanced sentiment information related to distinct drug attributes to enhance pharmacovigilance and drug safety monitoring. The primary objective of the study is to categorize drug reviews from online sources by identifying and evaluating the sentiment associated with specific drug aspects mentioned in the reviews. This aims to provide more detailed and actionable insights into pharmacological efficacy and side effects, thereby supporting improved drug safety and efficacy monitoring procedures.",True
Biology,"A Comprehensive Survey of Deep Transfer Learning for Anomaly Detection in Industrial Time Series: Methods, Applications, and Directions","Automating the monitoring of industrial processes has the potential to enhance efficiency and optimize quality by promptly detecting abnormal events and thus facilitating timely interventions. Deep learning, with its capacity to discern non-trivial patterns within large datasets, plays a pivotal role in this process. Standard deep learning methods are suitable to solve a specific task given a specific type of data. During training, deep learning demands large volumes of labeled data. However, due to the dynamic nature of the industrial processes and environment, it is impractical to acquire large-scale labeled data for standard deep learning training for every slightly different case anew. Deep transfer learning offers a solution to this problem. By leveraging knowledge from related tasks and accounting for variations in data distributions, the transfer learning framework solves new tasks with little or even no additional labeled data. The approach bypasses the need to retrain a model from scratch for every new setup and dramatically reduces the labeled data requirement. This survey first provides an in-depth review of deep transfer learning, examining the problem settings of transfer learning and classifying the prevailing deep transfer learning methods. Moreover, we delve into applications of deep transfer learning in the context of a broad spectrum of time series anomaly detection tasks prevalent in primary industrial domains, e.g., manufacturing process monitoring, predictive maintenance, energy management, and infrastructure facility monitoring. We discuss the challenges and limitations of deep transfer learning in industrial contexts and conclude the survey with practical directions and actionable suggestions to address the need to leverage diverse time series data for anomaly detection in an increasingly dynamic production environment.","['deep learning', 'deep transfer learning', 'transfer learning framework']","The research idea centers on the challenge of monitoring industrial processes efficiently by detecting abnormal events promptly to enhance operational quality and enable timely interventions. Due to the dynamic nature of industrial environments, acquiring large-scale labeled data for every variation in the process is impractical, creating a need for approaches that can adapt to changing conditions with limited new data. The primary objective of the study is to review and classify existing methods that address this challenge by leveraging knowledge from related tasks to detect anomalies in time series data across various industrial domains. Additionally, the study aims to discuss the challenges and limitations of these methods in industrial settings and provide practical recommendations for improving anomaly detection in dynamic production environments.","The research idea centers on the challenge of monitoring industrial processes efficiently by detecting abnormal events promptly to enhance operational quality and enable timely interventions. Due to the dynamic nature of industrial environments, acquiring large-scale labeled data for every variation in the process is impractical, creating a need for approaches that can adapt to changing conditions with limited new data. The primary objective of the study is to review and classify existing methods that address this challenge by transferring knowledge from related tasks to detect anomalies in time series data across various industrial domains. Additionally, the study aims to discuss the challenges and limitations of these methods in industrial settings and provide practical recommendations for improving anomaly detection in dynamic production environments.",True
Biology,Enhancing precision agriculture: A comprehensive review of machine learning and AI vision applications in all-terrain vehicle for farm automation,"The automation of all-terrain vehicles (ATVs) through the integration of advanced technologies such as machine learning (ML) and artificial intelligence (AI) vision has significantly changed precision agriculture. This paper aims to analyse and develop trends to provide comprehensive knowledge of the current state of ATV-based precision agriculture and the future possibilities of ML and AI. A bibliometric analysis was conducted through network diagram with keywords taken from previous publications in the domain. This review comprehensively analyses the potential of machine learning and artificial intelligence in transforming farming operations through the automation of tasks and the deployment of all-terrain vehicles. The research extensively analyses how machine learning methods have influenced several aspects of agricultural activities, such as planting, harvesting, spraying, weeding, crop monitoring, and others. AI vision systems are being researched for their ability to enhance precise and prompt decision-making in ATV-driven agricultural automation. These technologies have been thoroughly tested to show how they can improve crop yield, reducing overall investment, and make farming more efficient. Examples include machine learning-based seeding accuracy, AI-enabled crop health monitoring, and the use of AI vision for accurate pesticide application. The assessment examines challenges such as data privacy problems and scalability constraints, along with potential advancements and future prospects in the field. This will assist researchers and practitioners in making well-informed judgments regarding farming practices that are efficient, sustainable, and technologically robust.",['machine learning'],"The study addresses the evolving role of all-terrain vehicles (ATVs) in precision agriculture and the impact of integrating advanced technologies to transform farming operations. It highlights the motivation to understand how these innovations can improve various agricultural activities such as planting, harvesting, spraying, weeding, and crop monitoring, ultimately aiming to enhance crop yield and farming efficiency. The primary objective of the research is to provide a comprehensive overview of the current state and future possibilities of ATV-based precision agriculture, focusing on how these advancements can automate tasks and support precise decision-making in agricultural practices. The study also aims to identify challenges and potential developments to guide researchers and practitioners toward more efficient, sustainable, and effective farming methods.","The study addresses the evolving role of all-terrain vehicles (ATVs) in precision agriculture and the impact of integrating advanced technologies to transform farming operations. It highlights the motivation to understand how these innovations can improve various agricultural activities such as planting, harvesting, spraying, weeding, and crop monitoring, ultimately aiming to enhance crop yield and farming efficiency. The primary objective of the research is to provide a comprehensive overview of the current state and future possibilities of ATV-based precision agriculture, focusing on how these advancements can streamline tasks and support precise decision-making in agricultural practices. The study also aims to identify challenges and potential developments to guide researchers and practitioners toward more efficient, sustainable, and effective farming methods.",True
Biology,An Empirical Evaluation of Prompting Strategies for Large Language Models in Zero-Shot Clinical Natural Language Processing: Algorithm Development and Validation Study,"Background Large language models (LLMs) have shown remarkable capabilities in natural language processing (NLP), especially in domains where labeled data are scarce or expensive, such as the clinical domain. However, to unlock the clinical knowledge hidden in these LLMs, we need to design effective prompts that can guide them to perform specific clinical NLP tasks without any task-specific training data. This is known as in-context learning, which is an art and science that requires understanding the strengths and weaknesses of different LLMs and prompt engineering approaches. Objective The objective of this study is to assess the effectiveness of various prompt engineering techniques, including 2 newly introduced types—heuristic and ensemble prompts, for zero-shot and few-shot clinical information extraction using pretrained language models. Methods This comprehensive experimental study evaluated different prompt types (simple prefix, simple cloze, chain of thought, anticipatory, heuristic, and ensemble) across 5 clinical NLP tasks: clinical sense disambiguation, biomedical evidence extraction, coreference resolution, medication status extraction, and medication attribute extraction. The performance of these prompts was assessed using 3 state-of-the-art language models: GPT-3.5 (OpenAI), Gemini (Google), and LLaMA-2 (Meta). The study contrasted zero-shot with few-shot prompting and explored the effectiveness of ensemble approaches. Results The study revealed that task-specific prompt tailoring is vital for the high performance of LLMs for zero-shot clinical NLP. In clinical sense disambiguation, GPT-3.5 achieved an accuracy of 0.96 with heuristic prompts and 0.94 in biomedical evidence extraction. Heuristic prompts, alongside chain of thought prompts, were highly effective across tasks. Few-shot prompting improved performance in complex scenarios, and ensemble approaches capitalized on multiple prompt strengths. GPT-3.5 consistently outperformed Gemini and LLaMA-2 across tasks and prompt types. Conclusions This study provides a rigorous evaluation of prompt engineering methodologies and introduces innovative techniques for clinical information extraction, demonstrating the potential of in-context learning in the clinical domain. These findings offer clear guidelines for future prompt-based clinical NLP research, facilitating engagement by non-NLP experts in clinical NLP advancements. To the best of our knowledge, this is one of the first works on the empirical evaluation of different prompt engineering approaches for clinical NLP in this era of generative artificial intelligence, and we hope that it will inspire and inform future research in this area.","['in-context learning', 'few-shot prompting', 'zero-shot prompting']","The research idea addresses the challenge of extracting valuable clinical knowledge from large language models without relying on task-specific training data, focusing on how to effectively guide these models to perform various clinical information extraction tasks. This study is motivated by the need to improve clinical natural language processing in scenarios where labeled clinical data are scarce or expensive, emphasizing the importance of designing appropriate prompts to unlock the potential of these models for clinical applications. The primary objective of the study is to evaluate the effectiveness of different prompt engineering techniques, including newly introduced heuristic and ensemble prompts, for zero-shot and few-shot clinical information extraction across multiple clinical tasks. The study aims to provide a comprehensive assessment of these approaches to enhance clinical information extraction performance and offer practical guidelines for future research in clinical natural language processing.","The research idea addresses the challenge of extracting valuable clinical knowledge from text resources without relying on task-specific training data, focusing on how to effectively guide information processing to perform various clinical information extraction tasks. This study is motivated by the need to improve clinical natural language processing in scenarios where labeled clinical data are scarce or expensive, emphasizing the importance of designing appropriate prompts to unlock the potential of text analysis for clinical applications. The primary objective of the study is to evaluate the effectiveness of different prompt engineering techniques, including newly introduced heuristic and ensemble prompts, for information extraction across multiple clinical tasks with minimal examples. The study aims to provide a comprehensive assessment of these approaches to enhance clinical information extraction performance and offer practical guidelines for future research in clinical natural language processing.",True
Biology,A novel framework for developing environmentally sustainable and cost-effective ultra-high-performance concrete (UHPC) using advanced machine learning and multi-objective optimization techniques,"This study aims to propose a novel framework for strength prediction and multi-objective optimization (MOO) of economical and environmentally sustainable ultra-high-performance concrete (UHPC) which aids in intelligent, sustainable, and resilient construction. Different tree- and boosting ensemble-based machine learning (ML) models are integrated to form an accurate and reliable prediction model for the uniaxial compressive strength of UHPC. The optimized models are integrated into a super learner model, resulting in a robust predictive model that is used as one of the objective functions in the MOO problem. A total of 19 objective functions are considered, including cost, uniaxial compressive strength, and 17 environmental impact categories that comprehensively evaluate the environmental sustainability of the UHPC mix. The resulting impacts from the mid-point indicators were calculated using the Eco-invent v3.7 Life Cycle Inventory database. The results showed that the super learner model accurately predicted the uniaxial compressive strength of UHPC. The MOO resulted in Pareto fronts, demonstrating the trade-off among the uniaxial compressive strength, cost, and environmental sustainability of the mix and a broad range of solutions that can be obtained for the 19 objectives. The study provides a useful tool for designers and decision-makers to select the optimal UHPC mixture that meets specific project requirements. Finally, for the practical application of the ML predictive model and MOO algorithm for UHPC, a graphical user interface-based software tool, FAI-OSUSCONCRET, was developed. This software tool offers fast, accurate, and intelligent predictions and multi-objective optimizations tailored to specific project requirements, thus resulting in a UHPC mixture that perfectly meets project needs.","['tree-based ensemble machine learning models', 'boosting ensemble-based machine learning models', 'super learner model']","The study addresses the challenge of developing ultra-high-performance concrete (UHPC) that is both economically viable and environmentally sustainable, focusing on achieving a balance between strength, cost, and environmental impact. It highlights the need for optimizing UHPC mixtures to support sustainable and resilient construction practices by considering multiple objectives including mechanical performance and environmental sustainability. The primary aim of the study is to accurately predict the uniaxial compressive strength of UHPC and to perform multi-objective optimization that evaluates trade-offs among strength, cost, and various environmental impact categories. This enables the identification of optimal UHPC mixtures that meet specific project requirements while promoting sustainability in construction.","The study addresses the challenge of developing ultra-high-performance concrete (UHPC) that is both economically viable and environmentally sustainable, focusing on achieving a balance between strength, cost, and environmental impact. It highlights the need for optimizing UHPC mixtures to support sustainable and resilient construction practices by considering multiple objectives including mechanical performance and environmental sustainability. The primary aim of the study is to accurately determine the uniaxial compressive strength of UHPC and to perform multi-objective optimization that evaluates trade-offs among strength, cost, and various environmental impact categories. This enables the identification of optimal UHPC mixtures that meet specific project requirements while promoting sustainability in construction.",True
Biology,Utilizing Hybrid Machine Learning and Soft Computing Techniques for Landslide Susceptibility Mapping in a Drainage Basin,"The hydrological system of thebasin of Lake Urmia is complex, deriving its supply from a network comprising 13 perennial rivers, along withnumerous small springs and direct precipitation onto the lake’s surface. Among these contributors, approximately half of the inflow is attributed to the Zarrineh River and the Simineh River. Remarkably, Lake Urmia lacks a natural outlet, with its water loss occurring solely through evaporation processes. This study employed a comprehensive methodology integrating ground surveys, remote sensing analyses, and meticulous documentation of historical landslides within the basin as primary information sources. Through this investigative approach, we preciselyidentified and geolocated a total of 512 historical landslide occurrences across the Urmia Lake drainage basin, leveraging GPS technology for precision. Thisarticle introduces a suite of hybrid machine learning predictive models, such as support-vector machine (SVM), random forest (RF), decision trees (DT), logistic regression (LR), fuzzy logic (FL), and the technique for order of preference by similarity to the ideal solution (TOPSIS). These models were strategically deployed to assess landslide susceptibility within the region. The outcomes of the landslide susceptibility assessment reveal that the main high susceptible zones for landslide occurrence are concentrated in the northwestern, northern, northeastern, and some southern and southeastern areas of the region. Moreover, when considering the implementation of predictions using different algorithms, it became evident that SVM exhibited superior performance regardingboth accuracy (0.89) and precision (0.89), followed by RF, with and accuracy of 0.83 and a precision of 0.83. However, it is noteworthy that TOPSIS yielded the lowest accuracy value among the algorithms assessed.","['support-vector machine (SVM)', 'random forest (RF)', 'decision trees (DT)', 'logistic regression (LR)']","The hydrological system of the Lake Urmia basin is complex, relying on inflows from 13 perennial rivers, numerous small springs, and direct precipitation, with approximately half of the inflow coming from the Zarrineh and Simineh Rivers. Lake Urmia lacks a natural outlet, and its water loss occurs solely through evaporation, making the basin's environmental dynamics particularly sensitive. Understanding the spatial distribution and susceptibility to landslides within this basin is crucial due to the potential impacts on the hydrological system and surrounding ecosystems. The study aims to identify and precisely locate historical landslide occurrences across the Urmia Lake drainage basin to assess landslide susceptibility in the region. By documenting 512 historical landslides and analyzing their spatial patterns, the research seeks to determine the main zones prone to landslide occurrence, thereby contributing to better management and mitigation strategies for the basin’s environmental stability.","The hydrological system of the Lake Urmia basin is complex, relying on inflows from 13 perennial rivers, numerous small springs, and direct precipitation, with approximately half of the inflow coming from the Zarrineh and Simineh Rivers. Lake Urmia lacks a natural outlet, and its water loss occurs solely through evaporation, making the basin's environmental dynamics particularly sensitive. Understanding the spatial distribution and susceptibility to landslides within this basin is crucial due to the potential impacts on the hydrological system and surrounding ecosystems. The study aims to identify and precisely locate historical landslide occurrences across the Urmia Lake drainage basin to assess landslide susceptibility in the region. By documenting 512 historical landslides and analyzing their spatial patterns, the research seeks to determine the main zones prone to landslide occurrence, thereby contributing to better management and mitigation strategies for the basin's environmental stability.",True
